0.0e+00 0.00e+00 0.00e+00 -0.21  0.00
2.0e+00 3.90e+00 0.00e+00 -0.09  0.00
4.0e+00 3.90e+00 0.00e+00  0.09 -0.02
6.0e+00 5.85e+00 0.00e+00  0.45 -0.05
8.0e+00 7.80e+00 0.00e+00  0.93 -0.08
1.0e+01 7.89e+00 5.95e+00  0.67 -0.09
1.2e+01 7.89e+00 9.70e+00  0.50 -0.09
1.4e+01 7.89e+00 1.26e+01  0.41 -0.09
1.6e+01 7.89e+00 1.53e+01  0.35 -0.09
1.8e+01 7.89e+00 1.78e+01  0.31 -0.09
2.0e+01 7.89e+00 2.01e+01  0.29 -0.09
2.2e+01 7.89e+00 2.23e+01  0.29 -0.09
2.4e+01 7.89e+00 2.45e+01  0.29 -0.09
2.6e+01 7.89e+00 2.59e+01  0.31 -0.09
